Fecha y hora;Nombre;Epicentro;Zonas afectadas;Ms;Mw;MM;Tsunami;Muertos
13 de marzo de 1975 (11:34);Coquimbo de 1975;-37.425, -72.333;III y IV regiones;6,952_;6,9 Solo MS;VIII;;3
10 de mayo de 1975 (10:27);Angol de 1975;-38.183, -73.232;VII hasta X región;7,7 Solo MW;7,753_;VIII54_;;0
29 de noviembre de 1976 (21:40);Pica de 1976;-20.520, -68.919;I y II regiones;7,312_;7,555_;VIII;—;1
16 de octubre de 1981 (00:25);La Ligua de 1981;-37.425, -72.333;V región;7,512_;7,5 Solo MS;VI;;0
4 de octubre de 1983 (15:52);Copiapó de 1983;-26.535, -70.563;II y III regiones;7,4 Solo MW;7,456_;VIII57_;;5
3 de marzo de 1985 (19:46);Algarrobo de 1985;-33.240, -71.850;V, VI, VII regiones y R.M.;7,812_;8,012_;VIII;T;178
8 de abril de 1985 (21:56);Lago Rapel de 1985;-34.131, -71.618;Metropolitana y VI región;7,512_;7,5 Solo MS;VII;T;13
5 de marzo de 1987 (06:17);Taltal de 1987;-24.388, -70.161;II y III regiones;7,6 Solo MW;7,658_;VIII59_;;1
8 de agosto de 1987 (11:48);Tarapacá de 1987;-19.000, -70.000;I y II regiones;7,112_;7,260_;VII;—;3
5 de febrero de 1988 (11:01);Taltal de 1988;-24.753, -70.433;II y III regiones;7,2 Solo MW;7,261_;VII62_;;0
22 de febrero de 1988 (16:13);Iquique de 1988;-20.833, -69.785;XV, I y II regiones;6,7 Solo MW;6,763_;VIII64_;;0
11 de julio de 1993 (09:36);Caldera de 1993;-26.708, -70.918;III región;6,7 Solo MW;6,765_;VII66_;;0
11 de julio de 1993 (09:36);Taltal de 1993;-25.304, -70.166;II región;6,6 Solo MW;6,667_;VII68_;;0
30 de julio de 1995 (01:11);Antofagasta de 1995;-23.340, -70.294;II región;8,0 Solo MW;8,069_;VIII;T;3
14 de octubre de 1997 (01:03);Punitaqui de 1997;-30.773, -71.315;IV, V regiones y R.M.;7,1 Solo MW;7,170_;VII;;8
30 de enero de 1998 (09:16);Antofagasta de 1998;-23.913, -70.207;I y II regiones;7,1 Solo MW;7,171_;VII72_;;1
24 de julio de 2001 (01:00);Tarapacá de 2001;-19.000, -70.000;I y II regiones;6,4 Solo MW;6,473_;VII;;1
18 de abril de 2002 (12:08);Copiapó de 2002;-27.535, -70.586;II y III regiones;6,7 Solo MW;6,774_;VIII75_;;0
18 de junio de 2002 (09:56);Coquimbo de 2002;-30.805, -71.124;IV región;6,6 Solo MW;6,676_;VIII77_;;0
20 de junio de 2003 (09:30);Coquimbo de 2003;-30.653, -71.533;IV y V regiones;6,8 Solo MW;6,813_;VI;;0
2 de mayo de 2004 (00:36);Angol de 2004;-37.695, -73.406;VII, VIII y IX regiones;6,6 Solo MW;6,678_;VII79_;;0
28 de agosto de 2004 (09:41);Curicó de 2004;-35.173, -70.525;V hasta VIII región;6,5 Solo MW;6,580_;VII81_;;0
13 de junio de 2005 (18:44);Tarapacá de 2005;-19.895, -69.125;I región;7,812_;7,913_;VIII;—;11
30 de abril de 2006 (15:17);Copiapó de 2006;-27.017, -71.022;III región;6,7 Solo MW;6,782_;VII83_;;0
21 de abril de 2007 (13:53);Aysén de 2007;-45.266, -72.496;XI región;6,2 Solo MW;6,284_;VII;T;10
